Region.Label,Area,Sample.Label,Effort,distance
Monte_Vista_NWR,0,1,128.75,0.06
Monte_Vista_NWR,0,1,128.75,0.07
Monte_Vista_NWR,0,1,128.75,0.04
Monte_Vista_NWR,0,1,128.75,0.01
Monte_Vista_NWR,0,1,128.75,0.37
Monte_Vista_NWR,0,1,128.75,0.36
Monte_Vista_NWR,0,1,128.75,0.51
Monte_Vista_NWR,0,1,128.75,0.45
Monte_Vista_NWR,0,1,128.75,0.32
Monte_Vista_NWR,0,1,128.75,0.61
Monte_Vista_NWR,0,1,128.75,0.61
Monte_Vista_NWR,0,1,128.75,0.66
Monte_Vista_NWR,0,1,128.75,0.69
Monte_Vista_NWR,0,1,128.75,1.02
Monte_Vista_NWR,0,1,128.75,1.15
Monte_Vista_NWR,0,1,128.75,1
Monte_Vista_NWR,0,1,128.75,1.03
Monte_Vista_NWR,0,1,128.75,1.05
Monte_Vista_NWR,0,1,128.75,1.41
Monte_Vista_NWR,0,1,128.75,1.4
Monte_Vista_NWR,0,1,128.75,1.69
Monte_Vista_NWR,0,1,128.75,1.61
Monte_Vista_NWR,0,1,128.75,2
Monte_Vista_NWR,0,1,128.75,1.97
Monte_Vista_NWR,0,1,128.75,1.95
Monte_Vista_NWR,0,1,128.75,2.13
Monte_Vista_NWR,0,1,128.75,2.27
Monte_Vista_NWR,0,2,128.75,0.28
Monte_Vista_NWR,0,2,128.75,0.23
Monte_Vista_NWR,0,2,128.75,0.1
Monte_Vista_NWR,0,2,128.75,0.38
Monte_Vista_NWR,0,2,128.75,0.59
Monte_Vista_NWR,0,2,128.75,0.86
Monte_Vista_NWR,0,2,128.75,0.86
Monte_Vista_NWR,0,2,128.75,0.89
Monte_Vista_NWR,0,2,128.75,0.82
Monte_Vista_NWR,0,2,128.75,0.76
Monte_Vista_NWR,0,2,128.75,1.19
Monte_Vista_NWR,0,2,128.75,1.05
Monte_Vista_NWR,0,2,128.75,0.94
Monte_Vista_NWR,0,2,128.75,0.94
Monte_Vista_NWR,0,2,128.75,1.27
Monte_Vista_NWR,0,2,128.75,1.23
Monte_Vista_NWR,0,2,128.75,1.41
Monte_Vista_NWR,0,2,128.75,1.39
Monte_Vista_NWR,0,2,128.75,1.31
Monte_Vista_NWR,0,2,128.75,1.74
Monte_Vista_NWR,0,2,128.75,2.21
Monte_Vista_NWR,0,2,128.75,2.29
Monte_Vista_NWR,0,2,128.75,2.19
Monte_Vista_NWR,0,2,128.75,2.38
Monte_Vista_NWR,0,2,128.75,2.22
Monte_Vista_NWR,0,3,128.75,0.2
Monte_Vista_NWR,0,3,128.75,0.1
Monte_Vista_NWR,0,3,128.75,0.06
Monte_Vista_NWR,0,3,128.75,0.21
Monte_Vista_NWR,0,3,128.75,0.13
Monte_Vista_NWR,0,3,128.75,0.23
Monte_Vista_NWR,0,3,128.75,0.33
Monte_Vista_NWR,0,3,128.75,0.39
Monte_Vista_NWR,0,3,128.75,0.35
Monte_Vista_NWR,0,3,128.75,0.44
Monte_Vista_NWR,0,3,128.75,0.42
Monte_Vista_NWR,0,3,128.75,0.38
Monte_Vista_NWR,0,3,128.75,0.74
Monte_Vista_NWR,0,3,128.75,0.66
Monte_Vista_NWR,0,3,128.75,0.68
Monte_Vista_NWR,0,3,128.75,0.8
Monte_Vista_NWR,0,3,128.75,0.7
Monte_Vista_NWR,0,3,128.75,0.76
Monte_Vista_NWR,0,3,128.75,0.89
Monte_Vista_NWR,0,3,128.75,1.07
Monte_Vista_NWR,0,3,128.75,0.96
Monte_Vista_NWR,0,3,128.75,0.98
Monte_Vista_NWR,0,3,128.75,0.92
Monte_Vista_NWR,0,3,128.75,1.26
Monte_Vista_NWR,0,3,128.75,1.47
Monte_Vista_NWR,0,3,128.75,1.31
Monte_Vista_NWR,0,3,128.75,1.22
Monte_Vista_NWR,0,3,128.75,1.67
Monte_Vista_NWR,0,3,128.75,1.81
Monte_Vista_NWR,0,3,128.75,2.33
Monte_Vista_NWR,0,3,128.75,2.23
Monte_Vista_NWR,0,3,128.75,2.14
Monte_Vista_NWR,0,4,128.75,0.17
Monte_Vista_NWR,0,4,128.75,0.19
Monte_Vista_NWR,0,4,128.75,0.25
Monte_Vista_NWR,0,4,128.75,0.03
Monte_Vista_NWR,0,4,128.75,0.13
Monte_Vista_NWR,0,4,128.75,0.18
Monte_Vista_NWR,0,4,128.75,0.57
Monte_Vista_NWR,0,4,128.75,0.53
Monte_Vista_NWR,0,4,128.75,0.51
Monte_Vista_NWR,0,4,128.75,0.52
Monte_Vista_NWR,0,4,128.75,0.42
Monte_Vista_NWR,0,4,128.75,0.55
Monte_Vista_NWR,0,4,128.75,0.63
Monte_Vista_NWR,0,4,128.75,0.89
Monte_Vista_NWR,0,4,128.75,0.75
Monte_Vista_NWR,0,4,128.75,0.77
Monte_Vista_NWR,0,4,128.75,0.76
Monte_Vista_NWR,0,4,128.75,0.88
Monte_Vista_NWR,0,4,128.75,1.09
Monte_Vista_NWR,0,4,128.75,1.09
Monte_Vista_NWR,0,4,128.75,1.21
Monte_Vista_NWR,0,4,128.75,1.4
Monte_Vista_NWR,0,4,128.75,1.58
Monte_Vista_NWR,0,4,128.75,1.61
Monte_Vista_NWR,0,4,128.75,1.64
Monte_Vista_NWR,0,4,128.75,1.66
Monte_Vista_NWR,0,4,128.75,1.65
Monte_Vista_NWR,0,4,128.75,1.95
Monte_Vista_NWR,0,4,128.75,1.91
Monte_Vista_NWR,0,4,128.75,2.3
Monte_Vista_NWR,0,4,128.75,2.11
Monte_Vista_NWR,0,4,128.75,2.18
Monte_Vista_NWR,0,5,128.75,0.06
Monte_Vista_NWR,0,5,128.75,0.13
Monte_Vista_NWR,0,5,128.75,0.12
Monte_Vista_NWR,0,5,128.75,0.49
Monte_Vista_NWR,0,5,128.75,0.48
Monte_Vista_NWR,0,5,128.75,0.54
Monte_Vista_NWR,0,5,128.75,0.46
Monte_Vista_NWR,0,5,128.75,0.35
